Portfolio Type,Index,Average Return,Variance,Standard Deviation,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10
Efficient,6,168541.33257324315,90.35373248856065,9.505458036757652,0.0076792981643997085,0.015116753111754446,0.10126678776694839,0.021161434640436027,0.06017772354281198,0.1509863886230607,0.23653446966887123,0.2885715219826464,0.016612446533908844,0.10189316847370962
Efficient,7,171267.18236539402,93.0126710748594,9.644307703244406,0.00811299308664976,0.012604095074784046,0.08906280424606428,0.022454621437678186,0.057828582611552534,0.15994675876009543,0.23751474062092898,0.29944015250793743,0.017628768015657537,0.09540647608707814
Efficient,8,174010.7372371022,96.23432246656287,9.809909401547134,0.008546688009181297,0.0100914368064645,0.07685882074608871,0.023747808235601936,0.05547944168801367,0.16890712890224874,0.23849501159353317,0.3103087830490148,0.01864508949794021,0.08891978371592656
Efficient,9,176771.99716761618,100.0365509162135,10.001827378845002,0.008980382932268221,0.007578778436592766,0.06465483695386207,0.025040995034883357,0.05313030077895312,0.17786749905455865,0.2394752826050516,0.32117741362052654,0.01966141098128673,0.08243309137371022
Efficient,10,179550.96203297342,104.43722066693218,10.219453051261215,0.00941407785709438,0.00506612008768784,0.052450851934979115,0.02633418183843549,0.05078115991411074,0.18682786923875822,0.24045555373601626,0.3320460442862849,0.02067773246797992,0.07594639911971733
Efficient,11,182347.63202225746,109.45419608019257,10.462035943361721,0.009847772781923069,0.002553461738335631,0.04024686691438914,0.02762736864199422,0.048432019049313775,0.19578823942300572,0.2414358248671139,0.34291467495216293,0.02169405395467826,0.06945970686581246
Efficient,12,185162.01088529956,115.10534369843809,10.728715845730937,0.010281467734119549,4.08051482328631e-05,0.028042888114399235,0.028920555518251748,0.046082878558211936,0.20474861013333848,0.24241609718409246,0.3537833067968473,0.02271037549841647,0.06297301531415897
Efficient,13,202919.98054689658,158.60566488500228,12.593874101522625,0.013297289763197773,0.0,0.0,0.03815412016790403,0.015622651278501239,0.2681218931202659,0.21881375092737457,0.41602066336269505,0.029969633480421278,0.0
Efficient,14,205986.76649270428,166.02030292614398,12.884886608975027,0.013918246959620685,0.0,0.0,0.040135448211503395,0.004654407760991103,0.2815244788342133,0.20383975207894178,0.42439952104118184,0.031528144950068906,0.0
Efficient,15,209186.96459876836,173.54976353427497,13.173828734816427,0.014591622812769987,0.0,0.0,0.04232531984914256,0.0,0.29624085868575056,0.1823907683330967,0.43120033384394135,0.03325110600309914,0.0
Efficient,16,212484.04669236785,181.6250180899515,13.476832643093536,0.015303640818626658,0.0,0.0,0.04466892623344016,0.0,0.3119257451149665,0.1561685453725486,0.4368378432339721,0.03509529645669488,0.0
Efficient,17,232526.72421378482,253.6937141382771,15.927765509897398,0.01959031791756064,3.091556317402823e-08,1.3948192248295499e-07,0.058813149788490275,1.1267994875164482e-08,0.40650899662339846,1.767304205751707e-07,0.468861363800613,0.04622575855787283,5.570994976293949e-08
Efficient,18,257262.03604192566,416.8396498047506,20.416651287729596,0.02998892633205464,0.0,0.0,0.1008338435063048,0.0,0.6700087107571018,3.206618475270064e-08,0.1198016407679223,0.07936685994965789,0.0
